"","City","Year","Sex","Total"
"1","Auckland","2005","Female",15635
"2","Auckland","2005","Male",17251
"3","Auckland","2005","Total",32886
"4","Auckland","2006","Female",16427
"5","Auckland","2006","Male",18497
"6","Auckland","2006","Total",34925
"7","Auckland","2007","Female",17918
"8","Auckland","2007","Male",20522
"9","Auckland","2007","Total",38441
"10","Auckland","2008","Female",19122
"11","Auckland","2008","Male",22238
"12","Auckland","2008","Total",41360
"13","Auckland","2010","Total",41114
"14","Auckland","2011","Female",23675
"15","Auckland","2011","Male",29332
"16","Auckland","2011","Total",53007
"17","Auckland","2012","Female",24456
"18","Auckland","2012","Male",29822
"19","Auckland","2012","Total",54278
"20","Auckland","2013","Female",25635
"21","Auckland","2013","Male",30291
"22","Auckland","2013","Total",55926
"23","Auckland","2014","Female",26117
"24","Auckland","2014","Male",30568
"25","Auckland","2014","Total",56685
"26","Auckland","2015","Female",26899
"27","Auckland","2015","Male",31472
"28","Auckland","2015","Total",58371
"29","Auckland","2016","Female",28679
"30","Auckland","2016","Male",33279
"31","Auckland","2016","Total",61958
"32","Auckland","2017","Female",29335
"33","Auckland","2017","Male",33952
"34","Auckland","2017","Total",63287
"35","Auckland","2018","Female",29625
"36","Auckland","2018","Male",34720
"37","Auckland","2018","Total",64345
"38","Auckland","2019","Female",30272
"39","Auckland","2019","Male",35541
"40","Auckland","2019","Total",65813
"41","Auckland","2020","Female",30211
"42","Auckland","2020","Male",34541
"43","Auckland","2020","Total",64752
"44","Canterbury","2005","Female",5306
"45","Canterbury","2005","Male",5694
"46","Canterbury","2005","Total",11000
"47","Canterbury","2006","Female",5301
"48","Canterbury","2006","Male",5697
"49","Canterbury","2006","Total",10998
"50","Canterbury","2007","Female",5233
"51","Canterbury","2007","Male",5603
"52","Canterbury","2007","Total",10836
"53","Canterbury","2008","Female",5210
"54","Canterbury","2008","Male",5291
"55","Canterbury","2008","Total",10501
"56","Canterbury","2010","Total",12428
"57","Canterbury","2011","Female",6145
"58","Canterbury","2011","Male",6624
"59","Canterbury","2011","Total",12769
"60","Canterbury","2012","Female",6828
"61","Canterbury","2012","Male",7325
"62","Canterbury","2012","Total",14153
"63","Canterbury","2013","Female",7411
"64","Canterbury","2013","Male",7479
"65","Canterbury","2013","Total",14890
"66","Canterbury","2014","Female",7777
"67","Canterbury","2014","Male",7732
"68","Canterbury","2014","Total",15509
"69","Canterbury","2015","Female",7813
"70","Canterbury","2015","Male",7730
"71","Canterbury","2015","Total",15543
"72","Canterbury","2016","Female",7970
"73","Canterbury","2016","Male",8349
"74","Canterbury","2016","Total",16319
"75","Canterbury","2017","Female",7162
"76","Canterbury","2017","Male",7749
"77","Canterbury","2017","Total",14911
"78","Canterbury","2018","Female",7077
"79","Canterbury","2018","Male",7687
"80","Canterbury","2018","Total",14764
"81","Canterbury","2019","Female",7355
"82","Canterbury","2019","Male",8126
"83","Canterbury","2019","Total",15481
"84","Canterbury","2020","Female",7382
"85","Canterbury","2020","Male",7914
"86","Canterbury","2020","Total",15296
"87","Wellington","2005","Female",4587
"88","Wellington","2005","Male",5300
"89","Wellington","2005","Total",9887
"90","Wellington","2006","Female",4616
"91","Wellington","2006","Male",5293
"92","Wellington","2006","Total",9909
"93","Wellington","2007","Female",4803
"94","Wellington","2007","Male",5556
"95","Wellington","2007","Total",10359
"96","Wellington","2008","Female",5097
"97","Wellington","2008","Male",5800
"98","Wellington","2008","Total",10897
"99","Wellington","2010","Total",9478
"100","Wellington","2011","Female",6245
"101","Wellington","2011","Male",7071
"102","Wellington","2011","Total",13316
"103","Wellington","2012","Female",6573
"104","Wellington","2012","Male",7464
"105","Wellington","2012","Total",14037
"106","Wellington","2013","Female",7165
"107","Wellington","2013","Male",7930
"108","Wellington","2013","Total",15095
"109","Wellington","2014","Female",7479
"110","Wellington","2014","Male",8169
"111","Wellington","2014","Total",15648
"112","Wellington","2015","Female",7567
"113","Wellington","2015","Male",8444
"114","Wellington","2015","Total",16011
"115","Wellington","2016","Female",8305
"116","Wellington","2016","Male",9222
"117","Wellington","2016","Total",17527
"118","Wellington","2017","Female",8515
"119","Wellington","2017","Male",9397
"120","Wellington","2017","Total",17912
"121","Wellington","2018","Female",8938
"122","Wellington","2018","Male",9385
"123","Wellington","2018","Total",18323
"124","Wellington","2019","Female",9484
"125","Wellington","2019","Male",10161
"126","Wellington","2019","Total",19645
"127","Wellington","2020","Female",8771
"128","Wellington","2020","Male",9341
"129","Wellington","2020","Total",18112
